T10	100
T8	100
T5	100
T11	100
T12	100
T4	100
T9	100
T3	100
T1	100
T7	100
T6	100
T2	100
T5T8	1.0
T12T4	0.9869
T11T12T4	0.7711
T3T9	0.2704
T6T7	1.0
T1T6T7	1.0
T1T2T6T7	0.2872
T10T11T12T4T5T8	0.8546
T10T5T8	0.9982
T2T3	0.712
T1T2T3T6T7	0.707
T10T12T4T5T8T9	0.1344
T10T5T8T9	0.107
T10T12T4T5T8	0.1222
T1T11T2T6T7	0.0043
T2T3T9	0.0221
T11T12	0.0131
T11T2T3	0.0012
T11T12T2T3T4	0.0003
T10T9	0.0015
T10T4T5T8T9	0.0022
T11T2T3T9	0.0008
T10T4T5T8	0.0028
T11T12T4T5T8	0.0003
T11T2	0.0001
T10T3T4T5T8T9	0.0001
T1T10T5T6T7T8	0.0001
T10T3T5T8T9	0.0001
