T4	100
T2	100
T19	100
T13	100
T14	100
T7	100
T18	100
T11	100
T9	100
T20	100
T8	100
T10	100
T1	100
T12	100
T15	100
T17	100
T16	100
T6	100
T5	100
T3	100
T2T4	1.0
T13T19	1.0
T14T7	1.0
T13T14T19T7	0.9398
T13T14T19T2T4T7	0.6426
T11T18	1.0
T11T18T9	1.0
T20T8	1.0
T11T18T20T8T9	1.0
T1T10	1.0
T16T17	1.0
T15T16T17	0.8556
T12T15T16T17	1.0
T12T15T16T17T6	1.0
T1T10T12T15T16T17T6	0.3488
T3T5	0.3365
T1T10T12T15T16T17T3T5T6	1.0
T12T15	0.1444
T1T10T5	0.6507
T1T10T3T5	0.6495
T13T19T2T4	0.0341
T14T2T4T7	0.0039
T11T13T14T18T19T20T7T8T9	0.3572
T11T14T18T20T7T8T9	0.0221
T1T10T12T15T16T17T5T6	0.0145
T11T13T18T19T20T8T9	0.0003
